,danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,year,release_date,track_id
210,0.625,0.981,-3.799,0.0597,0.329,0.357,0.156,125.008,,,
211,0.603,0.988,-3.05,0.187,0.375,0.417,0.478,149.982,,,
212,0.632,0.639,-5.938,0.0259,0.0,0.221,0.733,95.506,,,
213,0.643,0.871,-2.734,0.118,0.0,0.29,0.452,121.569,,,
214,0.524,0.904,-2.071,0.398,0.0,0.776,0.655,161.188,,,
215,0.705,0.806,-3.607,0.0309,0.00428,0.0701,0.734,103.383,,,
216,0.662,0.739,-5.354,0.0322,0.0603,0.113,0.382,130.999,,,
217,0.624,0.654,-6.582,0.183,0.0,0.104,0.564,73.898,,,
218,0.554,0.932,-3.424,0.0485,0.000142,0.425,0.478,112.49,,,
219,0.55,0.917,-3.159,0.0638,0.0,0.197,0.601,126.115,,,
220,0.439,0.891,-4.764,0.057,0.0,0.547,0.695,148.599,,,
221,0.758,0.957,-2.282,0.0357,0.0,0.133,0.966,111.119,,,
222,0.668,0.673,-5.714,0.145,0.0,0.194,0.727,171.812,,,
223,0.81,0.538,-5.784,0.0356,0.0,0.0951,0.828,109.97,,,
224,0.323,0.558,-5.292,0.337,2.81e-06,0.676,0.199,73.552,,,
225,0.574,0.512,-6.664,0.0503,0.0,0.0946,0.512,76.899,,,
226,0.328,0.622,-7.291,0.0866,0.0,0.104,0.401,74.267,,,
227,0.648,0.812,-7.585,0.0414,0.0369,0.0857,0.122,128.178,,,
228,0.534,0.711,-5.927,0.0368,0.0031,0.135,0.3,128.102,,,
229,0.567,0.813,-6.652,0.0464,0.814,0.103,0.0684,128.139,,,
230,0.586,0.896,-4.132,0.372,0.836,0.121,0.103,125.744,,,
231,0.689,0.77,-5.646,0.0485,0.173,0.113,0.161,140.079,,,
232,0.358,0.923,-3.722,0.143,0.196,0.074,0.191,149.938,,,
233,0.817,0.921,-5.022,0.168,0.58,0.0641,0.617,132.015,,,
234,0.823,0.815,-3.947,0.134,0.0494,0.599,0.474,125.989,,,
235,0.838,0.963,-3.783,0.15,0.000488,0.254,0.558,124.944,,,
236,0.884,0.924,-2.163,0.201,0.839,0.124,0.408,128.021,,,
237,0.611,0.678,-6.723,0.243,8.43e-06,0.431,0.493,137.864,,,
238,0.713,0.746,-4.99,0.259,0.0,0.601,0.47,135.021,,,
239,0.63,0.782,-5.44,0.132,0.0,0.034,0.418,140.144,,,
240,0.787,0.799,-4.68,0.0993,0.0,0.3,0.835,143.052,,,
241,0.899,0.713,-2.752,0.366,0.0,0.0708,0.777,90.051,,,
242,0.82,0.809,-6.759,0.251,0.00175,0.0613,0.737,83.011,,,
243,0.846,0.482,-6.721,0.129,0.0,0.393,0.212,100.969,,,
244,0.688,0.835,-4.162,0.0911,2.87e-06,0.0795,0.88,84.858,,,
245,0.853,0.611,-4.678,0.07,0.0,0.319,0.687,94.752,,,
246,0.534,0.933,-3.282,0.366,0.0,0.394,0.478,202.058,,,
247,0.783,0.916,-3.344,0.415,0.0,0.0746,0.695,95.321,,,
248,0.353,0.686,-5.704,0.0534,0.0,0.123,0.177,94.47,,,
249,0.731,0.58,-7.328,0.0399,0.0,0.129,0.319,119.997,,,
250,0.733,0.886,-4.194,0.0396,1.76e-05,0.136,0.858,123.068,,,
251,0.766,0.519,-7.355,0.0366,0.0,0.0855,0.612,129.972,,,
252,0.512,0.812,-4.809,0.0617,0.0,0.092,0.521,100.02,,,
253,0.562,0.904,-4.947,0.0807,0.0,0.0433,0.651,94.481,,,
254,0.462,0.538,-5.527,0.059,0.0,0.429,0.405,139.256,,,
255,0.654,0.726,-3.803,0.0401,6.35e-05,0.0618,0.728,103.987,,,
256,0.49,0.679,-3.68,0.0309,1.54e-05,0.0383,0.506,167.046,,,
257,0.446,0.764,-5.042,0.033,0.0,0.099,0.543,172.094,,,
